country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Niger,2,11,562,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/m039k605q),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qn59q5683),niger_s1t1
Nigeria,2,11,566,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/cv43nx78p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j6731584b),nigeria_s1t1
Niue,9,61,570,3,8,,,niue_s3t8
Norfolk Island,9,53,574,3,8,,,norfolk_island_s3t8
North Korea,142,30,408,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/3j333327g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f7623f59q),north_korea_s3t8
Northern Cyprus,142,145,196,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4m90dx238),northern_cyprus_s5t11
Northern Mariana Islands,9,57,580,3,8,,,northern_mariana_islands_s3t8
Northern Territory,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/bn9997900),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
Norway,150,154,578,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/70795924h),norway_s5t11
Oman,142,145,512,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nz806134g),oman_s5t11
Pakistan,142,34,586,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/8g84mn93n),pakistan_s3t8
Palau,9,57,585,3,8,,,palau_s3t8
Palestine,142,145,275,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nc580p37t),palestine_s5t11
Panama,19,13,591,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6q182m92n),panama_s3t8
Papua New Guinea,9,54,598,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/3r074w183),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bk128c732),papua_new_guinea_s1t2
Paraguay,19,5,600,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/rb68xd05p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/fn1070729),paraguay_s1t2
Peru,19,5,604,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x346d5616),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/wh246t78k),peru_s3t8
